name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mansoura, Egypt",2023-02-21,20.2,7.5,13.3,20.2,7.1,13.3,7.8,71.7,0,0,0,,0,0,27.4,12.6,320.2,1020.6,39.5,22.3,144.9,12.6,7,10,2023-02-21T06:30:14,2023-02-21T17:46:33,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-22,20.9,7.7,14,20.9,7.7,14,8.5,72.9,0,0,0,,0,0,27.7,13,331.6,1018,33.9,22.3,212.6,18.2,8,10,2023-02-22T06:29:12,2023-02-22T17:47:20,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-23,19.6,10.1,14.5,19.6,10.1,14.5,9.9,76,0.1,100,4.17,rain,0,0,21.6,10.8,291.4,1016.5,75.6,21.8,100.5,8.5,5,10,2023-02-23T06:28:10,2023-02-23T17:48:07,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-02-24,21.4,8.5,14.5,21.4,8.5,14.5,9.4,75.5,0,0,0,rain,0,0,28.4,10.8,321.1,1017,52.5,22.3,119.5,10.4,7,10,2023-02-24T06:27:07,2023-02-24T17:48:53,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-25,22,7.9,14.3,22,7.9,14.3,9.3,75.8,0,0,0,,0,0,34.9,116.6,312,1018.1,24.1,22.3,202.8,17.6,8,10,2023-02-25T06:26:03,2023-02-25T17:49:39,0.17,Partially cloudy,Becoming cloudy in the afternoon.,wind,"62325099999,remote"
"Mansoura, Egypt",2023-02-26,23.1,7.7,14.8,23.1,7.7,14.8,9.6,75.1,0,0,0,,0,0,28.1,14,77.1,1020.1,19.4,22.3,222.4,19.2,8,10,2023-02-26T06:24:58,2023-02-26T17:50:24,0.2,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-27,26.3,9.7,16,26.3,9.1,16,11.5,78.7,0,0,0,,0,0,30.2,14,72.6,1021.3,16.1,22.3,224,19.3,8,10,2023-02-27T06:23:53,2023-02-27T17:51:09,0.25,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-28,30.3,11.6,18.7,28.7,11.6,18.5,12.4,72.6,0,0,0,,0,0,23,11.2,68.7,1017.8,20.7,21.8,227.5,19.7,8,10,2023-02-28T06:22:46,2023-02-28T17:51:54,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-01,31.4,11.5,19.8,29.4,11.5,19.4,10.1,61,0,0,0,,0,0,18.4,8.6,62.5,1014.5,0,23.5,229.8,20,8,10,2023-03-01T06:21:39,2023-03-01T17:52:38,0.3,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-02,33.5,11.8,21,31,11.8,20.6,6.8,48.3,0,0,0,,0,0,37.4,18.4,186.8,1010.7,11.4,22.3,233.5,20.1,8,10,2023-03-02T06:20:32,2023-03-02T17:53:22,0.33,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-03,26.5,13.4,18.7,26.5,13.4,18.7,13.9,77,0,0,0,,0,0,34.9,17.3,284.9,1016,44.1,22.3,226,19.6,8,10,2023-03-03T06:19:23,2023-03-03T17:54:06,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-04,27.1,12.1,17.3,26.7,12.1,17.3,12.1,76.1,0,0,0,,0,0,31,13,76.6,1017,34,21.7,235.2,20.2,8,10,2023-03-04T06:18:15,2023-03-04T17:54:49,0.4,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-05,33.2,12.3,20,30.8,12.3,19.6,11.8,67.9,0,0,0,,0,0,51.1,23,262.3,1011.2,20.9,22.3,238.5,20.7,8,10,2023-03-05T06:17:05,2023-03-05T17:55:32,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-06,22,11.3,16.1,22,11.3,16.1,9.4,68.4,0,0,0,,0,0,33.5,16.6,302.7,1017.6,28.5,23.5,233.5,20.1,8,10,2023-03-06T06:15:55,2023-03-06T17:56:15,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-07,21.6,9.2,14.7,21.6,9.2,14.7,8.4,69,0,0,0,,0,0,30.6,14.8,4,1017.5,75.7,23.5,221.4,19.1,8,10,2023-03-07T06:14:44,2023-03-07T17:56:57,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-08,22.3,9.1,15.2,22.3,9.1,15.2,8.8,70.1,0,0,0,,0,0,29.9,11.9,340.7,1016.9,22,22.3,238.1,20.6,8,10,2023-03-08T06:13:33,2023-03-08T17:57:39,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-09,25.1,9.5,16.4,25.1,9.1,16.3,8.3,64.1,0,0,0,,0,0,24.8,13.3,107.8,1016.7,35,22.9,221.2,19.2,8,10,2023-03-09T06:12:22,2023-03-09T17:58:21,0.57,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-10,28.7,10.8,18.7,27.1,10.8,18.4,7.2,54.5,0,0,0,,0,0,32,15.1,128.6,1015.8,1.2,21.8,246.2,21.1,8,10,2023-03-10T06:11:10,2023-03-10T17:59:03,0.6,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-11,27.9,9.7,17.9,27,9.7,17.7,11.2,69.4,0,0,0,,0,0,31,14.4,320.6,1012.7,25.7,21.7,238.4,20.5,8,10,2023-03-11T06:09:57,2023-03-11T17:59:44,0.64,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-12,29.4,12.4,18.8,27.8,12.4,18.6,11.1,67.8,0,0,0,,0,0,45.4,22.3,236.3,1009,15.2,21.8,241.1,20.9,8,10,2023-03-12T06:08:45,2023-03-12T18:00:25,0.67,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-13,25.1,13.2,17.9,25.1,13.2,17.9,12.8,75.6,1,100,16.67,rain,0,0,42.5,18.4,267.2,1009,50.2,21.8,199.7,17.2,8,10,2023-03-13T06:07:31,2023-03-13T18:01:06,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-03-14,20.5,11.1,15.6,20.5,11.1,15.6,10.2,73,0.4,100,8.33,rain,0,0,43.9,16.9,295,1011,65.7,22.3,148.2,13,8,10,2023-03-14T06:06:18,2023-03-14T18:01:46,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-03-15,22.2,10.2,15.5,22.2,10.2,15.5,7.8,65.4,0,0,0,,0,0,36.4,18.7,255,1012.7,42.3,22.9,227.7,19.8,9,10,2023-03-15T06:05:04,2023-03-15T18:02:27,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-16,26.3,8.5,17.3,26.3,7.6,17.1,4.7,50.6,0,0,0,,0,0,40,19.4,192.1,1011.5,15.7,22.3,256.9,22.4,9,10,2023-03-16T06:03:50,2023-03-16T18:03:07,0.81,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-17,24.2,11,17.2,24.2,11,17.2,8.6,61.7,0,0,0,,0,0,38.5,18.7,259.9,1011.4,53,22.9,253.7,22,9,10,2023-03-17T06:02:36,2023-03-17T18:03:47,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-03-18,21.5,11,14.9,21.5,11,14.9,9.3,72.3,0.1,100,4.17,rain,0,0,50.4,23.4,266,1012,53.4,21.7,156.6,13.6,8,10,2023-03-18T06:01:22,2023-03-18T18:04:27,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-03-19,18.8,10,14.1,18.8,9,14.1,9.2,74.4,0.3,100,8.33,rain,0,0,54.7,24.1,271,1014,45.6,22.3,87.3,7.5,6,10,2023-03-19T06:00:07,2023-03-19T18:05:06,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-03-20,22.6,10.2,15.3,22.6,10.2,15.3,9.6,71.4,0,0,0,rain,0,0,46.4,22.3,289.8,1014.1,47.5,21.7,159.5,13.8,7,10,2023-03-20T05:58:52,2023-03-20T18:05:46,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
